date,actual,predicted
2023-01-15,77.91666666666667,75.83333333333333
2023-01-16,72.58333333333333,76.66666666666667
2023-01-17,76.58333333333333,76.33333333333333
2023-01-18,77.83333333333333,75.69444444444444
2023-01-19,67.08333333333333,75.66666666666666
2023-01-20,81.25,73.83333333333333
2023-01-21,68.75,75.3888888888889
2023-01-22,78.33333333333333,72.3611111111111
2023-01-23,73.5,76.11111111111111
2023-01-24,83.08333333333333,73.52777777777777
2023-01-25,75.5,78.30555555555554
2023-01-26,71.0,77.3611111111111
2023-01-27,71.58333333333333,76.52777777777777
2023-01-28,73.33333333333333,72.69444444444444
2023-01-29,73.91666666666667,71.97222222222221
2023-01-30,70.33333333333333,72.94444444444444
2023-01-31,74.91666666666667,72.52777777777777
2023-02-01,76.33333333333333,73.05555555555556
2023-02-02,76.25,73.8611111111111
2023-02-03,70.83333333333333,75.83333333333333
2023-02-04,73.16666666666667,74.47222222222221
2023-02-05,76.5,73.41666666666667
2023-02-06,84.91666666666667,73.5
2023-02-07,79.0,78.19444444444444
2023-02-08,69.25,80.1388888888889
2023-02-09,74.25,77.72222222222223
2023-02-10,85.16666666666667,74.16666666666667
2023-02-11,74.91666666666667,76.22222222222223
2023-02-12,69.75,78.11111111111111
2023-02-13,75.75,76.61111111111111
2023-02-14,83.33333333333333,73.47222222222223
2023-02-15,72.83333333333333,76.27777777777777
2023-02-16,74.66666666666667,77.30555555555556
2023-02-17,73.66666666666667,76.94444444444444
2023-02-18,74.75,73.72222222222223
2023-02-19,71.91666666666667,74.36111111111111
2023-02-20,71.58333333333333,73.44444444444446
2023-02-21,78.16666666666667,72.75
2023-02-22,74.0,73.8888888888889
2023-02-23,67.75,74.58333333333333
2023-02-24,81.08333333333333,73.30555555555556
2023-02-25,71.83333333333333,74.27777777777777
2023-02-26,68.83333333333333,73.55555555555554
2023-02-27,69.66666666666667,73.91666666666666
2023-02-28,72.25,70.1111111111111
2023-03-01,74.41666666666667,70.25
2023-03-02,75.41666666666667,72.11111111111111
2023-03-03,75.83333333333333,74.02777777777779
2023-03-04,73.91666666666667,75.22222222222223
2023-03-05,73.58333333333333,75.05555555555556
2023-03-06,67.58333333333333,74.44444444444444
2023-03-07,71.75,71.69444444444444
2023-03-08,76.58333333333333,70.97222222222221
2023-03-09,74.83333333333333,71.97222222222221
2023-03-10,71.33333333333333,74.38888888888887
2023-03-11,74.25,74.24999999999999
2023-03-12,76.41666666666667,73.47222222222221
2023-03-13,80.83333333333333,74.0
2023-03-14,70.5,77.16666666666667
2023-03-15,71.66666666666667,75.91666666666667
2023-03-16,80.66666666666667,74.33333333333333
2023-03-17,76.41666666666667,74.27777777777779
2023-03-18,74.16666666666667,76.25
2023-03-19,80.75,77.08333333333333
2023-03-20,70.41666666666667,77.11111111111111
2023-03-21,72.08333333333333,75.11111111111113
2023-03-22,70.5,74.41666666666667
2023-03-23,71.16666666666667,71.0
2023-03-24,70.33333333333333,71.25
2023-03-25,69.5,70.66666666666667
2023-03-26,73.91666666666667,70.33333333333333
2023-03-27,78.0,71.25
2023-03-28,70.91666666666667,73.80555555555556
2023-03-29,82.33333333333333,74.27777777777779
2023-03-30,78.91666666666667,77.08333333333333
2023-03-31,68.41666666666667,77.3888888888889
